Date;Popular;Price;Rating
11.02.2021;7;77;5
12.02.2021;6;77;5
13.02.2021;7;77;5
14.02.2021;5;77;5
15.02.2021;5;77;5
16.02.2021;5;77;5
17.02.2021;6;77;5
18.02.2021;6;77;5
19.02.2021;5;77;5
20.02.2021;5;77;5
21.02.2021;5;77;5
22.02.2021;5;77;5
23.02.2021;5;77;5
24.02.2021;5;77;5
09.02.2021;5;77;5
07.03.2021;5;53.9;5
08.03.2021;5;77;5
09.03.2021;5;77;5
10.03.2021;5;77;5
11.03.2021;5;77;5
12.03.2021;5;77;5
13.03.2021;5;77;5
15.03.2021;5;77;5
16.03.2021;5;77;5
17.03.2021;5;77;5
19.03.2021;5;77;5
20.03.2021;5;77;5
21.03.2021;5;77;5
22.03.2021;6;53;5
23.03.2021;6;53;5
24.03.2021;6;53;5
25.03.2021;4;53;5
26.03.2021;3;77;5
27.03.2021;3;77;5
28.03.2021;3;77;5
29.03.2021;3;77;5
30.03.2021;3;77;5
31.03.2021;3;77;5
01.04.2021;3;77;5
02.04.2021;3;77;5
03.04.2021;2;77;5
04.04.2021;2;77;5
06.04.2021;2;77;5
07.04.2021;2;77;5
08.04.2021;2;77;5
09.04.2021;2;77;5
12.04.2021;2;77;5
13.04.2021;2;77;5
14.04.2021;2;77;5
15.04.2021;2;77;5
17.04.2021;2;77;5
18.04.2021;2;77;5
20.04.2021;2;77;5
01.05.2021;2;77;5
03.05.2021;2;77;5
04.05.2021;2;77;5
05.05.2021;2;77;5
06.05.2021;2;77;5
07.05.2021;2;77;5
08.05.2021;2;77;5
09.05.2021;2;77;5
10.05.2021;2;77;5
11.05.2021;2;77;5
12.05.2021;2;53;5
13.05.2021;2;53;5
14.05.2021;2;53;5
15.05.2021;2;53;5
16.05.2021;2;77;5
17.05.2021;2;77;5
18.05.2021;2;77;5
19.05.2021;2;77;5
20.05.2021;2;77;5
21.05.2021;2;77;5
22.05.2021;2;77;5
24.05.2021;2;77;5
25.05.2021;2;53;5
26.05.2021;2;53;5
27.05.2021;2;53;5
28.05.2021;2;53;5
29.05.2021;2;53;5
30.05.2021;2;77;5
31.05.2021;2;77;5
01.06.2021;2;77;5
02.06.2021;2;77;5
03.06.2021;2;77;5
04.06.2021;2;77;5
05.06.2021;2;77;5
07.06.2021;2;77;5
08.06.2021;2;77;5
09.06.2021;2;77;5
10.06.2021;2;77;5
11.06.2021;2;77;5
14.06.2021;2;77;5
15.06.2021;2;77;5
