Date;Popular;Price;Rating
11.02.2021;1;270;4.8
12.02.2021;1;270;4.8
13.02.2021;1;270;4.8
14.02.2021;1;270;4.8
15.02.2021;1;270;4.8
16.02.2021;1;270;4.8
17.02.2021;1;270;4.8
18.02.2021;1;270;4.8
19.02.2021;1;270;4.8
20.02.2021;1;270;4.8
21.02.2021;1;270;4.8
22.02.2021;1;270;4.8
23.02.2021;1;270;4.8
24.02.2021;1;270;4.8
07.03.2021;1;189;4.8
08.03.2021;1;270;4.8
09.03.2021;1;270;4.8
10.03.2021;1;270;4.8
11.03.2021;1;270;4.8
12.03.2021;1;270;4.8
13.03.2021;1;270;4.8
15.03.2021;1;270;4.8
16.03.2021;1;270;4.8
17.03.2021;1;270;4.8
19.03.2021;1;270;4.8
20.03.2021;1;270;4.8
21.03.2021;1;270;4.8
22.03.2021;1;189;4.8
23.03.2021;1;189;4.8
24.03.2021;1;189;4.8
25.03.2021;1;189;4.8
26.03.2021;1;270;4.8
27.03.2021;1;270;4.8
28.03.2021;1;270;4.8
29.03.2021;1;270;4.8
30.03.2021;1;270;4.8
31.03.2021;1;270;4.8
01.04.2021;1;270;4.8
02.04.2021;1;270;4.8
03.04.2021;1;270;4.8
04.04.2021;1;270;4.8
06.04.2021;1;270;4.8
07.04.2021;1;270;4.8
08.04.2021;1;270;4.8
09.04.2021;1;270;4.7
12.04.2021;1;270;4.7
13.04.2021;1;270;4.7
14.04.2021;1;270;4.7
15.04.2021;1;270;4.7
17.04.2021;1;270;4.7
18.04.2021;1;270;4.7
20.04.2021;1;270;4.7
01.05.2021;1;270;4.7
03.05.2021;1;270;4.7
04.05.2021;1;270;4.7
05.05.2021;1;270;4.7
06.05.2021;1;270;4.7
07.05.2021;1;270;4.7
08.05.2021;1;270;4.7
09.05.2021;1;270;4.7
10.05.2021;1;270;4.7
11.05.2021;1;270;4.7
12.05.2021;1;189;4.7
13.05.2021;1;189;4.7
14.05.2021;1;189;4.7
15.05.2021;1;189;4.7
16.05.2021;1;270;4.7
17.05.2021;1;270;4.7
18.05.2021;1;270;4.7
19.05.2021;1;270;4.7
20.05.2021;1;270;4.7
21.05.2021;1;270;4.7
22.05.2021;1;270;4.7
24.05.2021;1;270;4.7
25.05.2021;1;189;4.7
26.05.2021;1;189;4.7
27.05.2021;1;189;4.7
28.05.2021;1;189;4.7
29.05.2021;1;189;4.7
30.05.2021;1;270;4.7
31.05.2021;1;270;4.7
01.06.2021;1;270;4.7
02.06.2021;1;270;4.7
03.06.2021;1;270;4.7
04.06.2021;1;270;4.7
05.06.2021;1;270;4.7
07.06.2021;1;270;4.7
08.06.2021;1;270;4.7
09.06.2021;1;270;4.7
10.06.2021;1;270;4.7
11.06.2021;1;270;4.7
14.06.2021;1;270;4.7
15.06.2021;1;270;4.7
;1;270;4.7
